City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Ruwi,OM,62.29,clear sky,23.5996,58.5507,Al Falaj Hotel
15,Busselton,AU,63.09,clear sky,-33.65,115.3333,Observatory Guest House
16,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
18,New Norfolk,AU,64.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Hobart,AU,65.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
34,Shwebo,MM,59.14,few clouds,22.5667,95.7,MOON SHINE Guest House
39,Fortuna,US,60.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
47,Rawson,AR,62.47,clear sky,-43.3002,-65.1023,Hosteria Sampedro
58,Jimma,ET,58.69,few clouds,7.6667,36.8333,Jimma Central Hotel
64,Mwingi,KE,63.21,clear sky,-0.9344,38.0601,Thorn Tree by The Address
65,Bredasdorp,ZA,65.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
66,Kaitangata,NZ,55.92,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
73,Lebu,CL,58.96,clear sky,-37.6167,-73.65,Hostal Las Lilas
81,Ponta Do Sol,PT,61.43,scattered clouds,32.6667,-17.1,Hotel do Campo
95,Agadir,MA,59.45,few clouds,30.4202,-9.5982,Iberostar Founty Beach
97,Ribeira Grande,PT,59.59,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
116,Bandarban,BD,64.44,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
131,Huaicheng,CN,61.23,overcast clouds,23.9051,112.1931,Tengye Hotel
142,Menongue,AO,62.69,overcast clouds,-14.6585,17.691,Ritz Lauca
148,Te Anau,NZ,56.28,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
190,Shaoguan,CN,55.49,broken clouds,24.8,113.5833,Shangcheng Hotel
198,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
202,Najran,SA,56.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
209,Tura,IN,54.81,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
214,Maine-Soroa,NE,61.41,clear sky,13.2114,12.0241,Complexe
226,Naze,JP,58.12,broken clouds,28.3667,129.4833,Shishime Hotel
230,Guerrero Negro,MX,64.89,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
236,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
245,Odweyne,SO,60.04,few clouds,9.4092,45.064,Eng Hiirey House
265,San Quintin,MX,59.4,scattered clouds,30.4833,-115.95,Don Eddie's Landing
273,Itoman,JP,64.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
279,Lagoa,PT,58.62,overcast clouds,39.05,-27.9833,Casa Das Faias
291,Kutum,SD,57.88,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
310,Dunedin,NZ,58.8,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
317,Cottonwood,US,59.34,clear sky,34.7392,-112.0099,Pines Inn & Suites
325,Ancud,CL,65.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
330,Jos,NG,57.61,few clouds,9.9167,8.9,Silk Suites
336,Fairburn,US,55.44,broken clouds,33.5671,-84.581,Wingate by Wyndham Atlanta/Fairburn
340,Chino Valley,US,54.41,clear sky,34.7575,-112.4538,Primrose Inn & Suites
347,Jesup,US,55.67,clear sky,31.6074,-81.8854,Western Motel
353,Navsari,IN,59.5,clear sky,20.9524,72.9324,Navsari Vibhag Kelavani Trust
355,Ponta Delgada,PT,59.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
367,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hostel Del Puerto
368,North Bend,US,59.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
398,Lamar,US,55.31,clear sky,33.6668,-95.5836,Kings Inn Paris TX
406,San Patricio,US,61.48,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
457,Villa Guerrero,MX,65.35,clear sky,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
459,Tsiroanomandidy,MG,65.12,overcast clouds,-18.7667,46.0333,Hotel Ravinala
467,Rio Gallegos,AR,55.45,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
485,Gulfport,US,55.29,overcast clouds,30.3674,-89.0928,Courtyard by Marriott Gulfport Beachfront
486,Sungaipenuh,ID,64.45,overcast clouds,-2.0833,101.3833,penginapan citra alam
529,Masvingo,ZW,65.08,light rain,-20.0637,30.8277,River Side Lodge
539,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
557,Constitucion,CL,58.91,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
560,Srivardhan,IN,62.91,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
564,Foumban,CM,64.8,scattered clouds,5.7291,10.9001,Hotel Pekassa De Karche
582,Luau,AO,63.93,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
588,Zhuhai,CN,65.91,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
591,Biu,NG,62.24,clear sky,10.6129,12.1946,Emir's Palace
593,Ceres,US,64.06,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
606,Cotacachi,EC,55.72,light rain,0.3,-78.2667,La Mirage Garden Hotel And Spa
612,San Carlos De Bariloche,AR,65.61,clear sky,-41.1456,-71.3082,Hotel Patagonia
647,Mount Pleasant,US,54.18,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
676,Jiangkou,CN,56.64,overcast clouds,25.4872,119.1986,DFM Hotel
685,Fuengirola,ES,57.2,few clouds,36.54,-4.6247,Hotel Las Palmeras
696,Adra,ES,57.06,overcast clouds,36.7496,-3.0206,Hostal Zapata
698,Asfi,MA,57.87,overcast clouds,32.2994,-9.2372,Hôtel Abda
702,Nouadhibou,MR,65.48,broken clouds,20.931,-17.0347,El Medina
705,Mpongwe,ZM,63.03,overcast clouds,-13.5091,28.155,Casablanca guest house and bar
709,Alamogordo,US,56.66,broken clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
