City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Natal,-5.795,-35.2094,79.45,83,40,3.44,BR,scattered clouds
1,Pevek,69.7008,170.3133,-34.11,100,77,3.58,RU,broken clouds
2,Conceicao Das Alagoas,-19.9147,-48.3883,69.15,94,93,3.83,BR,overcast clouds
3,Mataura,-46.1927,168.8643,50.63,97,100,3.58,NZ,overcast clouds
4,Longyearbyen,78.2186,15.6401,15.64,57,40,19.57,SJ,scattered clouds
5,Bumba,2.1833,22.4667,72.39,48,100,1.57,CD,overcast clouds
6,Rikitea,-23.1203,-134.9692,78.28,76,100,15.88,PF,light rain
7,Arraial Do Cabo,-22.9661,-42.0278,75.72,90,0,17.85,BR,clear sky
8,Sadovoye,47.7764,44.5089,19.9,99,83,7.94,RU,broken clouds
9,Hilo,19.7297,-155.09,77.25,81,9,1.01,US,clear sky
10,Mehamn,71.0357,27.8492,30.67,65,100,24.7,NO,light snow
11,Beatrice,40.2681,-96.747,19.18,57,75,0.0,US,broken clouds
12,Wagar,16.1525,36.2032,66.52,83,18,13.47,SD,few clouds
13,Carnarvon,-24.8667,113.6333,84.27,54,0,13.8,AU,clear sky
14,Ribeira Grande,38.5167,-28.7,59.88,79,100,6.8,PT,overcast clouds
15,Nassau,40.7507,-73.5829,34.21,60,0,1.01,US,clear sky
16,Grindavik,63.8424,-22.4338,30.9,100,75,5.75,IS,broken clouds
17,Guasdualito,7.2424,-70.7324,83.23,45,90,3.91,VE,overcast clouds
18,Galich,58.3797,42.3475,8.47,96,100,3.2,RU,snow
19,Calbuco,-41.768,-73.1273,54.61,82,5,11.43,CL,clear sky
20,Vaini,-21.2,-175.2,80.19,70,13,12.93,TO,few clouds
21,Caernarfon,53.1413,-4.2702,46.67,45,100,4.61,GB,overcast clouds
22,Bethel,41.3712,-73.414,32.36,62,0,0.0,US,clear sky
23,Greytown,-29.0642,30.5928,58.28,98,27,1.41,ZA,scattered clouds
24,Jamestown,42.097,-79.2353,16.92,47,100,4.61,US,overcast clouds
