City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nizhniy Kuranakh,58.8353,125.4869,-21.77,100,67,2.73,RU,2022-01-21 01:26:43
1,Corrente,-3.7367,-43.3394,71.76,97,100,2.77,BR,2022-01-21 01:26:43
2,Redlands,34.0556,-117.1825,69.48,28,0,8.05,US,2022-01-21 01:26:43
3,Puerto Ayora,-0.7393,-90.3518,73.6,89,84,9.04,EC,2022-01-21 01:25:06
4,San Pedro,14.35,121.0167,82.09,71,40,3.44,PH,2022-01-21 01:26:43
5,Qaanaaq,77.484,-69.3632,16.36,86,100,2.59,GL,2022-01-21 01:24:42
6,Rikitea,-23.1203,-134.9692,78.71,75,100,6.85,PF,2022-01-21 01:26:44
7,New Norfolk,-42.7826,147.0587,80.91,30,8,1.99,AU,2022-01-21 01:26:44
8,Codrington,-38.2667,141.9667,86.16,27,0,8.28,AU,2022-01-21 01:26:44
9,Roald,62.5833,6.1333,37.54,87,100,17.27,NO,2022-01-21 01:26:45
10,Kruisfontein,-34.0033,24.7314,69.89,95,31,9.53,ZA,2022-01-21 01:26:45
11,Punta Arenas,-53.15,-70.9167,57.31,62,0,9.22,CL,2022-01-21 01:24:47
12,Hilo,19.7297,-155.09,79.79,83,100,10.36,US,2022-01-21 01:26:27
13,Mangrol,21.1167,70.1167,70.79,87,5,9.33,IN,2022-01-21 01:26:45
14,Bredasdorp,-34.5322,20.0403,58.28,93,0,3.44,ZA,2022-01-21 01:24:42
15,Torbay,47.6666,-52.7314,44.58,94,100,18.41,CA,2022-01-21 01:26:46
16,Avera,33.194,-82.5271,51.71,93,100,6.96,US,2022-01-21 01:26:46
17,Pabrade,55.0,25.7833,28.83,92,100,16.33,LT,2022-01-21 01:26:46
18,Busselton,-33.65,115.3333,94.05,29,1,7.4,AU,2022-01-21 01:26:47
19,Khatanga,71.9667,102.5,-3.57,93,100,8.43,RU,2022-01-21 01:26:47
20,Hithadhoo,-0.6,73.0833,81.82,74,100,7.56,MV,2022-01-21 01:26:47
21,Vestmanna,62.1564,-7.1664,43.72,93,100,28.77,FO,2022-01-21 01:26:47
22,Pevek,69.7008,170.3133,-35.0,96,20,1.9,RU,2022-01-21 01:26:48
23,Faanui,-16.4833,-151.75,80.87,76,100,19.55,PF,2022-01-21 01:26:48
24,Mataura,-46.1927,168.8643,58.48,61,93,8.77,NZ,2022-01-21 01:26:48
25,Aljezur,37.3191,-8.8033,48.11,62,0,5.21,PT,2022-01-21 01:26:48
26,Prado,-17.3411,-39.2208,75.15,89,0,4.81,BR,2022-01-21 01:26:49
27,Kirovskiy,45.0917,133.5136,-5.39,93,25,1.68,RU,2022-01-21 01:26:49
28,Yellowknife,62.456,-114.3525,-10.68,77,100,23.02,CA,2022-01-21 01:24:34
29,Vila Franca Do Campo,37.7167,-25.4333,61.21,83,7,16.11,PT,2022-01-21 01:26:49
30,Tungor,53.3808,142.9564,-1.17,86,98,15.88,RU,2022-01-21 01:26:49
31,Hobart,-42.8794,147.3294,81.27,40,20,1.01,AU,2022-01-21 01:26:50
32,Port Alfred,-33.5906,26.891,71.83,86,97,17.45,ZA,2022-01-21 01:26:50
33,Jamestown,42.097,-79.2353,13.71,85,100,5.75,US,2022-01-21 01:24:49
34,Izhma,65.0083,53.9113,16.39,92,97,10.36,RU,2022-01-21 01:26:50
35,Mar Del Plata,-38.0023,-57.5575,72.09,100,100,21.0,AR,2022-01-21 01:26:51
36,Yeppoon,-23.1333,150.7333,80.38,67,43,23.58,AU,2022-01-21 01:26:51
37,Ape,57.5393,26.6929,27.72,96,100,7.36,LV,2022-01-21 01:26:51
38,Kuchinarai,16.541,104.05,69.42,75,100,4.21,TH,2022-01-21 01:26:51
39,Denpasar,-8.65,115.2167,82.06,78,40,14.97,ID,2022-01-21 01:26:52
40,Bluff,-46.6,168.3333,58.8,76,100,17.67,NZ,2022-01-21 01:26:52
41,Comodoro Rivadavia,-45.8667,-67.5,60.66,94,40,2.3,AR,2022-01-21 01:26:01
42,Correntina,-13.3433,-44.6367,70.11,81,5,2.21,BR,2022-01-21 01:26:52
43,Ushuaia,-54.8,-68.3,58.66,51,0,9.22,AR,2022-01-21 01:24:46
44,Nikolskoye,59.7035,30.7861,30.09,96,86,4.61,RU,2022-01-21 01:26:53
45,Avarua,-21.2078,-159.775,80.65,89,100,12.66,CK,2022-01-21 01:27:31
